,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
19,1,,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,
20,1,,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
23,1,,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,
24,1,,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,
26,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,,,1,1,1,,,1,1,1,1,1,,,
27,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,,,1,,1,1,1,,,
28,1,,1,1,1,,,1,1,1,1,1,1,,,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,,
29,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
30,1,,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,,,1,
32,1,,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
33,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,,,1,1,,,1,1,1,1,1,,1,1,1,1,1,1,1,
34,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,,,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,
35,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,1,1,1,1,,,1,1,1,1,1,1,,,
36,,,,,,,,,,,,,1,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
37,1,,1,1,1,,,1,1,1,1,1,1,,1,1,,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,
38,1,,1,1,1,,,1,1,1,1,1,1,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,,
39,1,,1,1,1,,,1,1,1,1,1,1,,,,,,,,,1,1,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,,
40,1,,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,
41,1,,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
42,1,,1,1,1,,,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
43,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,,1,1,1,1,1,,,
45,1,,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,,,,,,,,,,
46,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
47,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,,1,,,1,1,1,1,1,,,
49,1,,1,1,1,,,1,1,1,1,1,1,,,1,1,1,1,,,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,,1,
50,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,,,1,1
53,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,,,
54,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,
56,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,1,1,,
58,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,,,
59,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,
60,1,,1,1,1,,,1,1,1,1,1,1,1,1,,,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,,
62,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,1,,,
65,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,,1,1,1,1,1,,,1,1,1,1,1,,,
66,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,,,1,1,1,1,1,1,1,1,,
67,1,,1,1,1,,,1,1,1,1,1,1,,,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,,
68,1,,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,
73,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,,
74,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,,,1,1,1,1,1,,,
75,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,,,
76,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,,,1,,,
77,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,
78,1,,1,1,1,,,1,1,1,1,1,1,,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,,
79,1,,1,1,1,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
80,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,,,1,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,1,1
81,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,,,1,1,,,1,1,1,1,1,,1,
82,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,
84,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
85,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
86,1,,1,1,1,,,1,1,1,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
87,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,,,1,1
89,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
90,1,,1,1,1,,,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
91,1,,1,1,1,,,1,1,1,1,1,1,,1,1,,,,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
92,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,,,
93,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,,
94,1,,1,1,1,,,1,1,1,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,,,
95,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
96,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
97,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,,,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,,
98,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
900,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
901,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
902,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
903,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
904,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
905,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
906,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
907,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
908,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
909,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
